Entity,Year,Annual CO₂ emissions from coal
Venezuela,1992,1231104
Venezuela,1993,1003966
Venezuela,1994,762112
Venezuela,1995,18320
Venezuela,1996,58626
Venezuela,1997,124579
Venezuela,1998,3517440
Venezuela,1999,131907
Venezuela,2000,479984
Venezuela,2001,175872
Venezuela,2002,65952
Venezuela,2003,157552
Venezuela,2004,0
Venezuela,2005,139232
Venezuela,2006,648528
Venezuela,2007,403040
Venezuela,2008,512960.03
Venezuela,2009,861060
Venezuela,2010,754798
Venezuela,2011,776768
Venezuela,2012,798736
Venezuela,2013,795088
Venezuela,2014,747471
Venezuela,2015,699838
Venezuela,2016,582576
Venezuela,2017,490964
Venezuela,2018,392048
Venezuela,2019,285792
Venezuela,2020,197856
Venezuela,2021,197856
Venezuela,2022,672758
Venezuela,2023,672758
